"DB_Class_Key","Symbol_human","GeneID_human","Symbol_mouse","GeneID_mouse"
"47998254","BANF1","8815","Banf1","23825"
"47998255","BIN1","274","Bin1","30948"
"47998256","PDE9A","5152","Pde9a","18585"
"47998257","ASRGL1","80150","Asrgl1","66514"
"47998258","CLPB","81570","Clpb","20480"
"47998259","EMD","2010","Emd","13726"
"47998260","ANXA1","301","Anxa1","16952"
"47998261","ATP5MK","84833","Atp5mk","66477"
"47998262","FKBP15","23307","Fkbp15","338355"
"47998263","CFAP65","255101","Cfap65","241116"
"47998264","PLB1","151056","Plb1","665270"
"47998265","AP1G2","8906","Ap1g2","11766"
"47998335","MMUT","4594","Mmut","17850"
"47998336","RANBP2","5903","Ranbp2","19386"
"47998336","RGPD1","400966","Ranbp2","19386"
"47998336","RGPD2","729857","Ranbp2","19386"
"47998336","RGPD3","653489","Ranbp2","19386"
"47998336","RGPD4","285190","Ranbp2","19386"
"47998336","RGPD5","84220","Ranbp2","19386"
"47998336","RGPD6","729540","Ranbp2","19386"
"47998336","RGPD8","727851","Ranbp2","19386"
"47998337","NALF2","27112","Nalf2","620592"
"47998338","POLR3GL","84265","Polr3gl","69870"
"47998339","GAL","51083","Gal","14419"
"47998340","SETD1B","23067","Setd1b","208043"
"47998341","TBR1","10716","Tbr1","21375"
"47998342","TBX2","6909","Tbx2","21385"
"47998343","IMP4","92856","Imp4","27993"
"47998344","MKS1","54903","Mks1","380718"
"47998345","ADAR","103","Adar","56417"
"47998346","PRR15L","79170","Prr15l","217138"
"47998347","ATAD1","84896","Atad1","67979"
"47998348","GSK3B","2932","Gsk3b","56637"
"47998349","ACD","65057","Acd","497652"
"47998350","AIFM2","84883","Aifm2","71361"
"47998351","ALG1","56052","Alg1","208211"
"47998351","ALG1L1P","200810","Alg1","208211"
"47998351","ALG1L2","644974","Alg1","208211"
"47998352","NUS1","116150","Nus1","52014"
"47998353","RPE65","6121","Rpe65","19892"
"47998354","CLDN4","1364","Cldn4","12740"
"47998355","CLDN3","1365","Cldn3","12739"
"47998356","CLDN6","9074","Cldn6","54419"
"47998357","CLDN9","9080","Cldn9","56863"
"47998358","STX1B","112755","Stx1b","56216"
"47998359","PPARD","5467","Ppard","19015"
"47998360","IGFBP2","3485","Igfbp2","16008"
"47998361","DLL3","10683","Dll3","13389"
"47998362","DBX1","120237","Dbx1","13172"
"47998363","DBX2","440097","Dbx2","223843"
"47998364","PBX4","80714","Pbx4","80720"
"47998365","CALR3","125972","Calr3","73316"
"47998366","UROD","7389","Urod","22275"
"47998367","MIXL1","83881","Mixl1","27217"
"47998368","KIFC1","3833","Kifc5b","16580"
"47998369","KIFC1","3833","Kifc1","100502766"
"47998370","COL11A2","1302","Col11a2","12815"
"47998371","BMP7","655","Bmp7","12162"
"47998372","CCL27","10850","Ccl27a","20301"
"47998373","CCL27","10850","Ccl27al","100039863"
"47998374","CCL27","10850","Ccl27b","100040048"
"47998375","ZIC1","7545","Zic1","22771"
"47998376","ROBO1","6091","Robo1","19876"
"47998377","ROBO3","64221","Robo3","19649"
"47998378","TPST1","8460","Tpst1","22021"
"47998379","BTG2","7832","Btg2","12227"
"47998380","ELAVL1","1994","Elavl1","15568"
"47998381","RBP4","5950","Rbp4","19662"
"47998382","CAT","847","Cat","12359"
"47998383","INHBA","3624","Inhba","16323"
"47998384","MEIS2","4212","Meis2","17536"
"47998385","KHDRBS1","10657","Khdrbs1","20218"
